iter	Passed	Remaining
0	0	29
1	0	26
2	0	25
3	0	23
4	1	23
5	1	23
6	1	23
7	1	22
8	2	22
9	2	22
10	2	22
11	3	22
12	3	22
13	3	21
14	3	21
15	4	21
16	4	21
17	4	21
18	4	20
19	5	20
20	5	20
21	5	20
22	5	20
23	6	19
24	6	19
25	6	19
26	7	19
27	7	18
28	7	18
29	7	18
30	8	18
31	8	18
32	8	17
33	9	17
34	9	17
35	9	17
36	9	16
37	10	16
38	10	16
39	10	15
40	10	15
41	10	15
42	11	14
43	11	14
44	11	14
45	11	13
46	12	13
47	12	13
48	12	13
49	13	13
50	13	12
51	13	12
52	13	12
53	14	12
54	14	11
55	14	11
56	15	11
57	15	11
58	15	10
59	15	10
60	16	10
61	16	10
62	16	9
63	16	9
64	17	9
65	17	9
66	17	8
67	18	8
68	18	8
69	18	7
70	18	7
71	19	7
72	19	7
73	19	6
74	19	6
75	20	6
76	20	6
77	20	5
78	20	5
79	21	5
80	21	5
81	21	4
82	21	4
83	22	4
84	22	3
85	22	3
86	23	3
87	23	3
88	23	2
89	23	2
90	24	2
91	24	2
92	24	1
93	24	1
94	25	1
95	25	1
96	25	0
97	25	0
98	26	0
99	26	0
