iter	Passed	Remaining
0	60	60832
1	61	30570
2	61	20513
3	62	15469
4	62	12434
5	62	10424
6	63	8978
7	63	7893
8	63	7044
9	64	6366
10	64	5811
11	64	5350
12	65	4961
13	65	4633
14	66	4347
15	66	4094
16	66	3871
17	67	3678
18	67	3504
19	68	3341
20	68	3196
21	68	3066
22	69	2944
23	69	2831
24	70	2730
25	70	2638
26	70	2548
27	71	2465
28	71	2387
29	71	2314
30	71	2246
31	72	2182
32	72	2123
33	72	2066
34	73	2015
35	73	1967
36	73	1922
37	74	1879
38	74	1837
39	74	1796
40	75	1757
41	75	1719
42	75	1685
43	75	1650
44	76	1618
45	76	1588
46	76	1559
47	77	1530
48	77	1503
49	77	1477
50	78	1452
51	78	1427
52	78	1403
53	78	1382
54	79	1361
55	79	1340
56	79	1320
57	80	1300
58	80	1282
59	80	1264
60	81	1249
61	81	1231
62	81	1216
63	82	1202
64	82	1186
65	82	1171
66	83	1156
67	83	1142
68	83	1127
69	83	1114
70	84	1101
71	84	1088
72	84	1077
73	85	1065
74	85	1053
75	85	1041
76	85	1029
77	86	1018
78	86	1007
79	86	997
80	87	987
81	87	977
82	87	966
83	87	957
84	88	950
85	88	942
86	89	934
87	89	924
88	89	916
89	89	908
90	90	899
91	90	891
92	90	883
93	90	875
94	91	867
95	91	860
96	91	852
97	91	845
98	92	838
99	92	831
100	92	824
101	92	817
102	93	811
103	93	805
104	93	800
105	94	794
106	94	787
107	94	782
108	95	776
109	95	771
110	95	765
111	95	759
112	96	754
113	96	748
114	96	743
115	96	738
116	97	733
117	97	728
118	97	723
119	97	718
120	98	713
121	98	708
122	98	703
123	98	699
124	99	694
125	99	689
126	99	684
127	99	680
128	100	676
129	100	672
130	100	668
131	101	664
132	101	659
133	101	656
134	101	652
135	102	648
136	102	644
137	102	640
138	102	637
139	103	633
140	103	629
141	103	625
142	103	622
143	104	619
144	104	616
145	104	613
146	105	610
147	105	607
148	105	604
149	106	601
150	106	598
151	106	595
152	106	592
153	107	589
154	107	586
155	107	583
156	108	580
157	108	578
158	108	575
159	109	572
160	109	569
161	109	566
162	109	563
163	110	560
164	110	557
165	110	555
166	110	552
167	111	550
168	111	547
169	111	544
170	111	542
171	112	539
172	112	536
173	112	534
174	112	531
175	113	529
176	113	526
177	113	524
178	113	522
179	114	519
180	114	517
181	114	515
182	114	512
